id,title,date,attendees,summary,discussionpoints,actions
MM-01,Week 1 Initial Virtual Meeting,05-10-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Initial virtual group meeting after first FYP lecture; set communication tools and clarified aims of the project.,"Chose online video calls and instant messaging; compiled team particulars; agreed everyone must research system features, rival systems, possible architecture/platform, and tools/languages; discussed leadership and roles.",All: read CSIT321 Topics PDF and prepare questions for supervisor; All: think about possible final product and recommender ideas; Seoyoun: prepare reply to supervisor with team particulars and short project description; All: list rival or related products.
MM-02,Week 2 Structured Planning Meeting,13-10-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun","Structured Week 2 planning meeting to set schedule, roles, and early requirements.","Reviewed interim schedule; divided report sections and starting roles; began user stories and stakeholder identification; discussed development methodology, main language, and content for survey/interview; agreed to prepare a Familiarisation Document to show understanding of the project.","All: propose candidate project domains or variants for supervisor; Dillon: continue recommender-system research and summarise for Familiarisation Document, design user survey; Seoyoun: draft Familiarisation Document structure and merge team particulars, schedule, and methodology; Brian, Nevin, Jiahui: add to feature list, competitor analysis, and early architecture ideas."
MM-03,Week 3 Proposal and PRD Planning Meeting,21-10-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Proposal feedback and PRD planning meeting focused on improving the proposal and shaping the PRD.,"Went through supervisor feedback on proposal (follow template notes, add missing subsections, include overall architecture diagram); restructured content so stakeholder descriptions and user stories are in correct sections; discussed having several user types (e.g. Free, Premium, Business Partner, Admin, Unregistered); used survey results to form better user stories and use cases.","All: draft user stories for assigned user types; Seoyoun: update proposal/PRD sections to match feedback and start architecture text and rough diagram; Brian, Nevin, Jiahui: support architecture and stakeholder descriptions and refine user types; Dillon: continue related work and recommender research for PRD."
MM-04,Week 4 PRD Detailing and Role Assignment Meeting,28-10-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun","PRD detailing meeting to finalise user stories, assign user-type ownership, and clarify remaining PRD tasks.","Confirmed proposal needs use cases and that user stories should be completed soon; allocated user types (System Admin, Free user, Premium+Unregistered, Business Partner); allocated PRD tasks such as survey transcript, use case diagrams, UML and descriptions, WBS, and proposal refinement; discussed several app names and leaned toward SpatiaLynk after shortlisting options.",Dillon: compile stakeholder survey transcripts and refine proposal format; Brian: draft WBS and Free-tier use case descriptions; Jiahui: draft System Admin use cases and outline Gantt chart; Nevin: draft Business Partner use cases and stories; Seoyoun: draft Premium/Unregistered use cases and coordinate PRD consolidation; All: complete user stories so diagrams can be finished in Week 5.
MM-05,Week 5-1 Early-Week Requirement Clarification Meeting,03-11-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Early Week 5 online check-in to clarify PRD requirements and limit its scope.,Reviewed PRD requirements; agreed that full UML and sequence diagrams are not needed in PRD; decided PRD will focus on Use Case Diagram and Use Case Descriptions while UML and sequence diagrams move to the later Technical Manual; discussed rough task allocations ahead of the second Week 5 meeting.,All: come with section drafts and confirm ownership at next meeting; Jiahui: begin drafting Gantt chart; Brian: prepare WBS outline; Seoyoun: prepare conclusion template and PRD structure; Nevin and Dillon: keep checking that all submission materials are on track.
MM-06,Week 5-2 PRD Finalisation and Submission Meeting,05-11-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Late Week 5 meeting to finalise PRD content and prepare it for submission.,Finalised all PRD sections; Jiahui completed Gantt chart; Brian completed WBS; Seoyoun compiled full PRD and circulated it; team proofread the document together to get it ready for submission.,"All: after submission, review supervisor feedback when it arrives; All: start thinking about how the Technical Manual and UML/sequence diagrams will extend the PRD work."
MM-07,Week 6 Light Sync After PRD Submission,12-11-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Light sync-up after PRD submission with focus on planning Assessment 1 - Submission 2.,"Acknowledged PRD workload and other exams; highlighted 13 Dec deadline; discussed organising upcoming work into streams: UX & wireframes, Technical Document, algorithm research, data cleaning and preparation, and documentation; agreed more detailed allocation will happen later.","All: reflect on which stream (UX, technical writing, algorithm, data, minutes) they are most suited for and bring suggestions; Brian and Dillon: continue light reading on recommender/ranking algorithms and technical structure."
MM-08,Week 7 Submission 2 Planning and Task Allocation Meeting,20-11-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Planning and task allocation meeting for Assessment 1 - Submission 2.,"Reviewed Submission 2 requirements in detail; discussed how UX/wireframes, Technical Document, algorithm research, data cleaning, and minutes should be handled; listed expected components such as preliminary Technical Document, User Manual, slides, and Peer Assessment; members shared preferences and strengths and balanced the workload.",Seoyoun & Nevin: prepare to start UX wireframes and main flows; Jiahui & Dillon: start drafting Technical Document; Brian: organise notes on algorithm approaches and pick at least one candidate ranking method.
MM-09,Week 8 Requirements Confirmation for Submission 2,26-11-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Week 8 meeting to confirm official requirements and solidify tasks for Submission 2.,"Seoyoun summarised professor's email outlining Technical Document, User Manual, presentation, and Peer Assessment; team discussed progress and issues for UX wireframes, technical report, algorithm research, and data cleaning; Dillon shared a Singapore POI dataset which was accepted for initial cleaning and experimentation.","Seoyoun & Nevin: continue UX wireframes and user interaction flows and prepare visuals for documents and slides; Jiahui & Dillon: keep drafting Technical Document (architecture, testing, project management); Brian: continue algorithm research for POI ranking and document assumptions and parameters; Jiahui: begin cleaning POI dataset and summarise issues such as missing values and duplicates."
MM-10,Week 9 Prototype Technical Planning and Alignment Meeting,02-12-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Prototype technical planning meeting to align work on core system components.,"Reviewed progress of UX, Technical Document, algorithm, and dataset preparation; listed required prototype components (NLP + GeoParser, database, personalised ranker, explainability, API, mobile app); noted that supervisor expects a working prototype with real progress in Parts 1-3; discussed current gaps in each part and overall time pressure.","Nevin: start NLP + GeoParser pipeline with Brian's help; Dillon: work on candidate generation and start exploring explainability; Brian: continue intensive work on ranking model (embeddings, multi-level features, graph, attention); Jiahui: learn API development and integration strategy; All: coordinate so Components 1-3 can be integrated into a working pipeline."
MM-11,Week 10-1 Check-in Before Supervisor Meeting,08-12-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Check-in meeting before seeing supervisor to confirm prototype status and demo flow.,"Confirmed all Week 9 components are implemented in a working webpage prototype; prototype now links NLP + GeoParser, recommender, and explainability; reviewed wireframes and consolidated links; rehearsed a short demo flow.",All: review demo script once more before supervisor meeting; Nevin: prepare explanation of NLP/GeoParser behaviour; Brian: prepare explanation of recommender stack and ranking logic.
MM-12,Week 10-2 Supervisor Prototype Review Meeting,10-12-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun; Supervisor (Mr Tian)",Supervisor review of current prototype and expectations for upcoming prototype demo.,"Supervisor noted missing spatial aspects and suggested embedding a map and showing user's current location; stressed handling different spatial granularities (walking vs driving); listed minimum enhancements before demo: current location, map integration, spatial granularity, some live interaction; said optional CRUD can stay in wireframes; emphasised that prototype, documentation, and presentation must stay consistent and fully reflect a multi-level spatial, textual, explainable recommender; reminded team to capture assessor feedback in later demo.","Prepare an updated prototype plan that includes map, location, and spatial granularity; start adjusting PRD, Technical Manual, and slides to reflect new spatial requirements; plan how to redistribute workload after the meeting."
MM-13,Week 10-3 Internal Follow-up After Supervisor Review,10-12-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Internal follow-up meeting after supervisor review to break down tasks and prepare for prototype demo.,"Reâ€‘stated that prototype must include spatial features and documentation must match it; broke down tasks so Nevin handles current location and map integration, Brian refines recommender and spatial granularity, Jiahui sets up database in Postgres/Supabase, and Dillon & Seoyoun update documents and slides and proofread; all members to ensure overall coherence for demo.",Dillon & Seoyoun: update documentation and slides and check consistency with spatial prototype; Nevin: implement current location feature and map integration; Jiahui: complete database implementation; Brian: integrate map output with ranking flow and tune spatial granularity; All: rehearse prototype demo and prepare to record assessor comments.
